Absorbance,Wavenumber
7.096759e+002,2.638619e-002
7.101580e+002,2.905063e-002
7.106401e+002,3.196852e-002
7.111222e+002,3.520650e-002
7.116044e+002,3.887551e-002
7.120864e+002,4.310308e-002
7.125686e+002,4.802128e-002
7.130507e+002,5.375591e-002
7.135328e+002,6.042949e-002
7.140149e+002,6.820164e-002
7.144971e+002,7.728600e-002
7.149791e+002,8.792739e-002
7.154613e+002,1.003430e-001
7.159434e+002,1.145738e-001
7.164255e+002,1.303315e-001
7.169076e+002,1.467699e-001
7.173898e+002,1.625082e-001
7.178718e+002,1.756849e-001
7.183540e+002,1.842508e-001
7.188361e+002,1.866861e-001
7.193182e+002,1.824230e-001
7.198003e+002,1.721551e-001
7.202825e+002,1.575152e-001
7.207645e+002,1.406720e-001
7.212467e+002,1.236683e-001
7.217288e+002,1.079776e-001
7.222109e+002,9.454469e-002
7.226930e+002,8.371501e-002
7.231752e+002,7.543546e-002
7.236572e+002,6.944696e-002
7.241394e+002,6.544384e-002
7.246215e+002,6.318696e-002
7.251036e+002,6.256656e-002
7.255857e+002,6.360891e-002
7.260679e+002,6.642918e-002
7.265499e+002,7.113816e-002
7.270321e+002,7.772632e-002
7.275142e+002,8.592277e-002
7.279963e+002,9.509442e-002
7.284784e+002,1.042565e-001
7.289606e+002,1.120274e-001
7.294426e+002,1.169781e-001
7.299248e+002,1.179529e-001
7.304069e+002,1.143730e-001
7.308890e+002,1.064760e-001
7.313711e+002,9.522383e-002
7.318533e+002,8.205025e-002
7.323353e+002,6.837381e-002
7.328175e+002,5.544651e-002
7.332996e+002,4.411252e-002
7.337817e+002,3.473981e-002
7.342638e+002,2.734954e-002
7.347460e+002,2.169934e-002
7.352280e+002,1.744205e-002
7.357102e+002,1.421066e-002
7.361923e+002,1.171524e-002
7.366744e+002,9.751328e-003
7.371565e+002,8.175084e-003
7.376387e+002,6.893116e-003
7.381207e+002,5.830126e-003
7.386029e+002,4.923590e-003
7.390850e+002,4.131089e-003
7.395671e+002,3.429125e-003
7.400492e+002,2.812892e-003
7.405314e+002,2.285626e-003
7.410134e+002,1.844574e-003
7.414956e+002,1.473017e-003
7.419777e+002,1.143037e-003
7.424598e+002,8.241292e-004
7.429419e+002,4.982572e-004
7.434241e+002,1.662984e-004
7.439061e+002,-1.541122e-004
7.443883e+002,-4.407572e-004
7.448704e+002,-6.784525e-004
7.453525e+002,-8.687003e-004
7.458346e+002,-1.027860e-003
7.463168e+002,-1.179823e-003
7.467988e+002,-1.343625e-003
7.472810e+002,-1.525724e-003
7.477631e+002,-1.720947e-003
7.482452e+002,-1.918195e-003
7.487273e+002,-2.108659e-003
